id,parent_id,name,slug,deanery,city,address,phone,email,latitude,longitude,status,created_at
32402196-f014-4c77-8df4-d05ed87da964,1740ad9d-cdca-4834-9e15-2f533b839323,"Capilla Sagrado Corazón de Jesús,",cap_sagrado_corazon_jesus_rosario_sur,sur,Rosario,Ayolas 141,0341 4620245,null,null,null,active,2026-05-15 23:04:17.930426+00
5298ae78-40c1-48d8-b445-0aed10f05f29,1f2295a2-c399-46b1-8d3d-d6da466f1e25,Capilla Ntra. Sra. de Fátima,cap_ntra_sra_fatima_rosario_norte,norte,Rosario,Cavia 1200,null,null,null,null,active,2026-05-15 23:04:17.930426+00
972b2676-4d60-4c89-890f-f22213ef3b2a,null,Sagrado Corazón de Jesús,sagrado_corazon_jesus_rosario_norte,norte,Rosario,null,null,null,null,null,active,2026-05-15 23:04:17.930426+00
a5836a48-a57f-4ae4-969b-3f61123c6ce8,c6e82675-5671-4101-bdca-5cc2b1591599,Capilla San Francisco Solano,cap_s_francisco_solano_rosario_oeste,oeste,Rosario,Maiztegui y Miramar,null,null,null,null,active,2026-05-15 23:04:17.930426+00
2cf84b6c-b3e8-4100-bc53-2d2e22ea0a8e,23e97632-2b99-4557-9b61-b7dad7995800,"Capilla del centro Misión católica italmigrante,",cap_mision_catolica_italmigrante_rosario,centro,Rosario,Buenos Aires 1563,0341 4216773,null,null,null,active,2026-05-15 23:04:17.930426+00
e692045b-d34e-4003-8b32-ab97a88ac1e3,ae8aad15-641b-4bd4-89e8-3fc0a43ffb40,Capilla del Hogarcito “San José Obrero”,cap_hogar_sjose_obrero_cap_bermudez,san lorenzo,Capitán Bermúdez,null,null,null,null,null,active,2026-05-15 23:04:17.930426+00
3c550b76-d781-408d-98c3-9033b0729d9e,4366e4ca-c2e9-4480-8ef8-c31c3ff96c12,Capilla Milagroso Niño Jesús de Praga,cap_milagroso_nino_jesus_pueblo_esther,villa constitucion,Pueblo Esther,Parque Bernaza,null,null,null,null,active,2026-05-15 23:04:17.930426+00
5d7b93e5-6557-4d3d-b043-5f61fadc8f2f,44bffc93-3a19-4295-9cf1-73e75ed0167c,"Capilla Ntra. Sra. del Huerto, Hijas de Ntra. Sra. del Huerto",cap_sra_huerto_hijas_rosario,centro,Rosario,J. Manuel de Rosas 1093,0341 4216091,null,null,null,active,2026-05-15 23:04:17.930426+00
068025ab-be65-43bc-9a52-6d2675d8a8d5,94ea85ec-d8aa-426d-8bf8-b5de778fa11d,Capilla Ntra. Sra. de Itatí,cap_itati_rosario_norte,norte,Rosario,Molina y Pje. 1,null,null,null,null,active,2026-05-15 23:04:17.930426+00
1aca7f18-2589-449d-ac61-55e8f868d053,null,Natividad de la Santísima Virgen María,natividad_stma_virgen_maria_c_gomez,cañada de gomez,Cañada de Gomez,null,null,null,null,null,active,2026-05-15 23:04:17.930426+00
